Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"sendKeys(findTestObject(""Page_GreenKart/logo_greenlogo""), Keys.chord(CONTROL, ""T""))",Chrome 113.0.0.0,,,2023-05-29 02:07:17,2023-05-29 02:07:17,0.587s,PASSED
"navigateToUrl(""http://www.webdriveruniversity.com/"")",Chrome 113.0.0.0,,,2023-05-29 02:07:17,2023-05-29 02:07:18,0.559s,PASSED
"scrollToElement(findTestObject(""Page_GreenKart/section_Actions""), 0)",Chrome 113.0.0.0,,,2023-05-29 02:07:18,2023-05-29 02:07:18,0.444s,PASSED
takeScreenshot(),Chrome 113.0.0.0,,,2023-05-29 02:07:18,2023-05-29 02:07:19,0.476s,PASSED
"click(findTestObject(""Page_GreenKart/h1_Actions""))",Chrome 113.0.0.0,,,2023-05-29 02:07:19,2023-05-29 02:07:19,0.475s,PASSED
switchToWindowIndex(0),Chrome 113.0.0.0,,,2023-05-29 02:07:19,2023-05-29 02:07:19,0.079s,PASSED
takeScreenshot(),Chrome 113.0.0.0,,,2023-05-29 02:07:19,2023-05-29 02:07:20,0.429s,PASSED
switchToWindowIndex(1),Chrome 113.0.0.0,,,2023-05-29 02:07:20,2023-05-29 02:07:20,0.036s,PASSED
pageTitle = getWindowTitle(),Chrome 113.0.0.0,,,2023-05-29 02:07:20,2023-05-29 02:07:20,0.042s,PASSED
"verifyMatch(pageTitle, "".*Actions.*"", true, STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-29 02:07:20,2023-05-29 02:07:20,0.053s,PASSED
"dragAndDropToObject(findTestObject(""Page_GreenKart/DRAG ME TO MY TARGET""), findTestObject(""Page_GreenKart/DROP HERE""))",Chrome 113.0.0.0,,,2023-05-29 02:07:20,2023-05-29 02:07:22,1.783s,PASSED
"verifyElementNotVisible(findTestObject(""Page_GreenKart/Link 1""))",Chrome 113.0.0.0,,,2023-05-29 02:07:22,2023-05-29 02:07:22,0.537s,PASSED
"mouseOver(findTestObject(""Page_GreenKart/button_Hover Over Me First""))",Chrome 113.0.0.0,,,2023-05-29 02:07:22,2023-05-29 02:07:23,0.561s,PASSED
"verifyElementVisible(findTestObject(""Page_GreenKart/Link 1""))",Chrome 113.0.0.0,,,2023-05-29 02:07:23,2023-05-29 02:07:23,0.368s,PASSED
"click(findTestObject(""Page_GreenKart/Link 1""))",Chrome 113.0.0.0,,,2023-05-29 02:07:23,2023-05-29 02:07:24,0.426s,PASSED
verifyAlertPresent(0),Chrome 113.0.0.0,,,2023-05-29 02:07:24,2023-05-29 02:07:24,0.033s,PASSED
alertText = getAlertText(),Chrome 113.0.0.0,,,2023-05-29 02:07:24,2023-05-29 02:07:24,0.029s,PASSED
acceptAlert(),Chrome 113.0.0.0,,,2023-05-29 02:07:24,2023-05-29 02:07:24,0.047s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-29 02:07:24,2023-05-29 02:07:24,0.755s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-29 02:07:24,2023-05-29 02:07:26,1.268s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-29 02:07:26,2023-05-29 02:07:26,0.155s,PASSED
"navigateToUrl(""http://www.webdriveruniversity.com/Contact-Us/contactus.html"")",Chrome 113.0.0.0,,,2023-05-29 02:07:26,2023-05-29 02:07:27,0.776s,PASSED
"setText(findTestObject(""Page_GreenKart/textarea_CONTACT US_message""), alertText)",Chrome 113.0.0.0,,,2023-05-29 02:07:27,2023-05-29 02:07:28,0.899s,PASSED
